entry_type,entry_id,title,category_or_answer_type,location_or_csv_row,source_basis,notes
source,G-01,AI Boundary Matrix,governance,docs/requirements/AI_Boundary_Matrix.docx,,"Primary control source for corpus scope"
source,G-02,Project Charter,governance,docs/requirements/Project_Charter_Final_3_Pages.docx,,"Referenced by the boundary matrix"
source,R-01,Centenary Bank official website,public reference,https://www.centenarybank.co.ug/,,"General bank facts, products, branch/support references"
source,R-02,Centenary Bank Treasury Platform FAQ,public reference,https://centetreasury.centenarybank.co.ug/,,"Product and procedure references"
source,R-03,Centenary Bank CSD Account application,public reference,https://centetreasury.centenarybank.co.ug/open-csd/,,"Account-opening procedure and requirements"
source,R-04,Bank of Uganda Financial Inclusion and Consumer Protection,regulatory reference,https://bou.or.ug/financial_inclusion_and_consumer_protection,,"Consumer protection, fair treatment, complaint handling"
source,R-05,Bank of Uganda Supervision / Published Charges,regulatory reference,https://bou.or.ug/supervision,,"Published fees and charges"
source,R-06,Personal Data Protection Office obligations page,regulatory reference,https://www.pdpo.go.ug/information-center/organisation,,"Data protection and controller obligations"
source,R-07,Uganda Data Protection and Privacy Regulations 2021,regulatory reference,https://pdpo.go.ug/media/2022/03/Data_Protection_and_Privacy_Regulations-2021.pdf,,"Data rights, lawful processing, privacy controls"
record,COR-001,Who are Centenary Bank?,Bank overview,1,R-01,"Imported from the working CSV; verify against the official website before external use"
record,COR-002,What services and products does Centenary Bank offer?,Product summary,3,R-01; R-02,"Imported from the working CSV; public product information"
record,COR-003,Where is Centenary Bank's Head Office located?,Contact/location,5,R-01,"Imported from the working CSV; public contact information"
record,COR-004,Which numbers can I call for support?,Support contact,6,R-01,"Imported from the working CSV; public support contact"
record,COR-005,What is the required minimum account balance?,Account rule,8,R-01; R-05,"Imported from the working CSV; verify fees/limits against approved sources"
record,COR-006,What is a CenteSacco Savings Account?,Product features,10,R-02,"Imported from the working CSV; product feature reference"
record,COR-007,What are the requirements for opening a CenteSacco savings account?,Account opening requirements,13,R-03,"Imported from the working CSV; account-opening procedure source"
record,COR-008,How is the interest for the CenteSacco savings account calculated?,Fees and rates,14,R-02; R-05,"Imported from the working CSV; pricing/charge style content"
record,COR-009,What are the charges for withdrawals from a CenteSacco savings account?,Charges and fees,15,R-05,"Imported from the working CSV; published charges topic"
record,COR-010,Are there any account maintenance fees for the CenteSacco savings account?,Fees and charges,19,R-05,"Imported from the working CSV; published charges topic"
record,COR-011,How often are account statements issued for the CenteSacco savings account?,Service policy,20,R-02,"Imported from the working CSV; product-service policy"
record,COR-012,What are the charges for standing orders and direct debits?,Fees and charges,32,R-05,"Imported from the working CSV; published charges topic"
record,COR-013,What are the requirements for opening a CenteSacco Current Account?,Account opening requirements,41,R-03,"Imported from the working CSV; account-opening procedure source"
record,COR-014,What are the key features of the Cente Diaspora account?,Product features,48,R-01; R-02,"Imported from the working CSV; public product information"
record,COR-015,What are the requirements for opening a CenteDiaspora Account?,Account opening requirements,49,R-03,"Imported from the working CSV; account-opening procedure source"
record,COR-016,When does my account become inactive or dormant?,Account servicing,58,R-01; R-02,"Imported from the working CSV; account servicing topic"
record,COR-017,How do I check my account balance on CenteMobile?,Digital banking support,63,R-02,"Imported from the working CSV; digital channel procedure"
record,COR-018,Why does my money keep getting deducted at the end of the month?,Charges explanation,66,R-05,"Imported from the working CSV; published charges topic"
record,COR-019,How much is the charge for a bank statement?,Charges explanation,67,R-05,"Imported from the working CSV; published charges topic"
record,COR-020,What are the requirements for opening a savings account with Centenary Bank?,Account opening requirements,69,R-03,"Imported from the working CSV; account-opening procedure source"
record,COR-021,What are the requirements for obtaining a Visa card?,Card application,70,R-01; R-05,"Imported from the working CSV; fee and product reference"
record,COR-022,What are the requirements for a Visa Card replacement?,Card replacement support,71,R-01; R-05,"Imported from the working CSV; support and fee reference"
record,COR-023,What are the withdrawals over the counter charges?,Charges explanation,72,R-05,"Imported from the working CSV; published charges topic"
record,COR-024,Does Centenary Bank offer Internet banking services?,Digital channel capabilities,73,R-01; R-02,"Imported from the working CSV; public digital service information"
