id,question,answer
1,Who are Centenary Bank?,"Centenary Bank's history dates back to 1983 when it started as a credit trust of the Uganda National Lay Apostolate. Operations started in 1985 with two main purposes: serving the rural poor and contributing to Uganda's socio-economic development. In 1993, it transitioned to Centenary Rural Development Bank Limited and was licensed as a full-service commercial bank. Today it is Uganda's leading Microfinance Bank with an asset base of UGX 8.496 trillion, serving 3 million customers through 83 branches, 219 ATMs, over 8,758 Agents, and digital channels including CenteMobile, CenteOnline banking, CenteVisa debit & prepaid cards, and Mastercard Platinum debit card. Vision: 'To be the best provider of Financial Services, especially Microfinance.'"
2,Does Centenary Bank have a corporate social responsibility programme?,"Yes. The bank dedicates up to 2% of its previous year's after-tax profits towards Corporate Social Investment (CSI) annually, per its corporate responsibility policy. It has invested more than Ushs 1 billion in CSR programmes over the last four years, focusing on financial education, health, environment, church social work, and other community activities, especially in rural areas."
3,What services and products does Centenary Bank offer?,"Centenary Bank offers deposit, savings, credit/loan and advances, and money transfer services, tailored for Government, SMEs, Corporate, and Individual customers, delivered through different channels based on customer needs."
4,What form of banking channels does Centenary Bank have for customers?,"219 ATMs, 83 branches, and over 8,758 CenteAgents across the country, plus digital channels: CenteMobile, CenteOnline banking, and CenteVisa debit & prepaid cards."
5,Where is Centenary Bank's Head Office located?,"Mapeera House, Plot 44-46 Kampala Road & 2 Burton Street, Kampala City."
6,Which numbers can I call for support?,"Toll-free: 0800 200555 / 0800 335344, or email info@centenarybank.co.ug. Customers abroad can call 0317202002."
7,Is my account accessible at any branch?,"Yes, a customer can access their account at any Centenary Bank branch."
8,What is the required minimum account balance?,"UShs. 10,000."
9,What is a CenteSacco Savings Account?,"A specialized savings account tailored for SACCOs (Savings and Credit Cooperative Organizations), designed to encourage savings among SACCO members and facilitate their lending and investment activities."
10,What are the benefits of opening a CenteSacco savings account?,"No monthly ledger/maintenance fee; tiered interest on account balances; free quarterly account statements; free financial literacy, mentorship, and entrepreneurship training; access to standing order and direct debit facilities; cheap & competitive loan interest rate; cheap & competitive life & credit insurance package; secure digital technology access; internet banking services (with applicable charges)."
11,How can I make a cash withdrawal from the account?,"Over the counter or through digital channels including CenteAgents, ATMs, and CenteMobile bank-to-wallet transfers."
12,What are the features of the CenteSacco savings account?,"Denominated in Uganda Shillings; no minimum cash deposit to open; minimum balance requirement of UShs. 10,000; interest-bearing; withdrawals via withdrawal vouchers & Cente Swift digital technology; accessible at any branch; monthly statement issuance on request, one free per quarter; accepts cash, wire, cheque, and other deposits; can have a cheque book."
13,What are the requirements for opening a CenteSacco savings account?,No opening cash deposit; two recent passport-size photos of account signatories; valid National ID for signatories; copy of SACCO registration certificate (not certified); copy of SACCO bylaws (not certified); copy of minutes and resolution to open the account (handwritten allowed); introduction letter from the District Commercial Officer (DCO).
14,How is the interest for the CenteSacco savings account calculated?,"Tiered rates by balance: 3% p.a. for UShs. 2M–300M, 4% p.a. for above 300M up to 500M, and 5% p.a. for balances exceeding 500M."
15,What are the charges for withdrawals from a CenteSacco savings account?,"Up to UShs. 50M: UShs. 6,000. Between UShs. 50M and 200M: UShs. 10,000. Above UShs. 200M: UShs. 20,000."
16,Does the CenteSacco account offer internet banking services?,"Yes, providing convenient online access to account management and transactions."
17,What documents are required for the CenteSacco savings account signatories?,Two recent passport-size photos and a valid National Identification Card.
18,Is there a minimum balance requirement for the CenteSacco savings account?,"Yes, UShs. 10,000 to maintain the account."
19,Are there any account maintenance fees for the CenteSacco savings account?,No maintenance fees for the CenteSACCO Savings Account.
20,How often are account statements issued for the CenteSacco savings account?,Free once a quarter; monthly statements available on request.
21,What types of deposits are accepted for the CenteSacco savings account?,"Cash, wire transfers, cheques, and other acceptable means including digital and mobile money."
22,What is the process for withdrawing cash from a CenteSacco savings account?,"Complete a withdrawal voucher at any branch, or use Centeswift Technology via bank agents."
23,Do the CenteSacco savings accounts offer any additional benefits and services?,"Free financial literacy, mentorship and entrepreneurship training; a standing order facility; competitive loan interest rates; a competitive life & credit insurance package; and access to a secure SACCO App promoting transparency."
24,What is a CenteSacco Current Account?,A special current account designed for SACCOs and Cooperatives to accumulate savings for financing their lending operations or future investment plans.
25,Who is eligible for the CenteSacco Current Account?,All types of co-operatives are eligible.
26,What are the benefits for opening a CenteSacco Current Account?,"No monthly ledger/maintenance fee; tiered interest on balances; free quarterly account statements; free financial literacy, mentorship, and entrepreneurship training; standing order and direct debit access; cheap & competitive loan interest rate; cheap & competitive life & credit insurance package; secure digital technology access; internet banking (with applicable charges)."
27,Is there a minimum fee for a CenteSacco Current Account?,No maintenance fee.
28,How is the interest calculated for the CenteSacco Current Account?,Calculated on a tiered basis depending on the account balance.
29,Are there any charges for issuing statements?,"No, account statements are issued free of charge quarterly."
30,How much are the withdrawal charges for the CenteSacco Current accounts?,"Vary based on the amount withdrawn, ranging from UShs. 6,000 to UShs. 20,000."
31,Is there any financial literacy or entrepreneurship training for the CenteSacco Current Account?,"Yes, free financial literacy, mentorship, and entrepreneurship training is offered."
32,What are the charges for standing orders and direct debits?,"Standing orders: UShs. 3,000. Direct debits: UShs. 1,000."
33,What are the interest rates for loans obtained through the CenteSacco Current Account?,13% per annum.
34,What insurance package is offered for the CenteSacco Current Account?,A competitive insurance package covering both life & credit.
35,Can you explain the features of the secure SACCO App mentioned?,The SACCO digital technology promotes transparency in SACCO activities and ensures safe and secure transactions.
36,"Is internet banking available for the CenteSacco Current Account, and what are the related charges?","Yes, available with applicable charges per transaction."
37,What currency is the account denominated in?,Uganda Shillings.
38,What is the minimum account cash deposit required?,Zero.
39,"How often are the account statements issued, and can they be requested frequently?",Free once quarterly; monthly statements can be requested at a fee.
40,What are the acceptable deposits for this type of account?,"Cash, wire/digital technology, cheques, and other acceptable means."
41,What documents are required to open the CenteSacco Current Account?,"Two recent passport-size photos of account signatories; valid National ID cards for signatories; copies of SACCO registration certificate, SACCO bylaws, minutes and resolution to open the account, and an introduction letter from the District Commercial Officer (DCO)."
42,What is the process for obtaining a copy of the SACCO registration certificate?,"Typically involves contacting the District Commercial Officer (DCO) for documentation, then applying through the Cooperative registry Management Information System at https://coopmis.mtic.go.ug"
43,Can you explain the requirement for a copy of the SACCO bylaws?,Required to ensure compliance with regulations governing Cooperatives/SACCOs in Uganda; obtainable online via the same link as the registration certificate.
44,How do I obtain an introduction letter from the District Commercial Officer (DCO)?,By contacting their office and following their account-opening procedures.
45,What is a Cente Diaspora account?,"An individual savings account targeting Ugandans living and working abroad, particularly those interested in saving or investing back home."
46,Why was the CenteDiaspora Account developed?,"Developed as part of the bank's growth strategy to boost the deposit base by tapping into Ugandans living overseas, helping them save for investment and manage expenses back home."
47,Who is eligible for the CenteDiaspora Account?,"All professionals (permitted residents and account holders with banks abroad); Ugandans in informal/casual employment abroad with requisite visas or authorization to stay, including students or those processing residence permission."
48,What are the key features of the Cente Diaspora account?,"Denominated in UGX, USD, GBP and EURO; opening balance of USD 200, GBP 100, Euro 100, or UGX 10,000; tiered interest of 3%-5% for UGX accounts and 0.25% p.a. for foreign currency accounts; no ledger/account maintenance fees; direct deposits via authorized money transfer companies, TTs, or agents (Send Wave, Western Union, MoneyGram, etc.); no Over the Counter (OTC) charge; a dedicated Relationship Manager; mobile app access; free quarterly online statement via email; withdrawals via CenteMobile, Visa-enabled ATM, and other providers/agents; mandatory transaction email alerts; email instructions allowed (with indemnity)."
49,What are the requirements for opening a CenteDiaspora Account?,"Ugandan National ID; copy of resident passport or valid resident ID; one recent colored passport-size photo of the applicant(s); initial opening balance of USD 200, GBP 100, Euro 100, or UGX 10,000."
50,What are the benefits for opening a CenteDiaspora account?,"No ledger/account maintenance fee; no OTC charge; dedicated Relationship Manager; tiered interest of 3%-5% p.a. for UGX accounts, 0.25% p.a. for foreign currency accounts, paid quarterly on balances above the initial deposit; safe & secure investment options; free quarterly online statement on request; accessible at any branch, agent, CenteMobile, Visa ATM, or internet banking; deposits via partner money transfer companies, TTs, or remittance agencies; withdrawals via CenteMobile, CenteOnline Banking, or debit cards; free email transaction alerts (plus free SMS for local numbers); remote account management for non-resident Ugandans."
51,"Are there transaction charges, fees and/or commissions charged by the Bank for the CenteDiaspora Account?","Other than ledger fees, account management fees and OTC charges, fees for other services apply."
52,How can a customer access their Diaspora Account while abroad?,"Via CenteMobile, CenteOnline Banking, or ATM VISA debit and prepaid card."
53,Can the customer's international number be connected to CenteMobile?,"Yes, and it's the recommended number, unless the customer prefers their locally registered number."
